video_id,word,gloss,source
0012.000,Anlamak,ANLAMAK,tid_sozluk
0022.000,Aynı,AYNI,tid_sozluk
0022.001,Aynı,AYNI,tid_sozluk
0035.001,"Ad, İsim",AD,tid_sozluk
0035.001,"Ad, İsim",İSİM,tid_sozluk
0035.001,"Ad, İsim",AD,tid_sozluk
0035.001,"Ad, İsim",İSİM,tid_sozluk
0035.000,"Ad, İsim",AD,tid_sozluk
0035.000,"Ad, İsim",İSİM,tid_sozluk
0035.000,"Ad, İsim",AD,tid_sozluk
0035.000,"Ad, İsim",İSİM,tid_sozluk
0038.000,Anne,ANNE,tid_sozluk
0043.000,Araba,ARABA,tid_sozluk
0044.001,Almak,ALMAK,tid_sozluk
0044.000,Almak,ALMAK,tid_sozluk
0055.000,Arkadaş,ARKADAŞ,tid_sozluk
0074.000,Aile,AİLE,tid_sozluk
0075.000,Anlatmak,ANLATMAK,tid_sozluk
0105.000,Ama,AMA,tid_sozluk
0120.000,Az,AZ,tid_sozluk
0144.000,Ağır,AĞIR,tid_sozluk
0144.001,Ağır,AĞIR,tid_sozluk
0152.000,Alışmak,ALIŞMAK,tid_sozluk
0152.001,Alışmak,ALIŞMAK,tid_sozluk
0159.001,Açmak,AÇMAK,tid_sozluk
0159.000,Açmak,AÇMAK,tid_sozluk
0159.002,Açmak,AÇMAK,tid_sozluk
0164.000,Ay,AY,tid_sozluk
0187.000,Allah,ALLAH,tid_sozluk
0196.000,Akıl,AKIL,tid_sozluk
0207.000,Atmak,ATMAK,tid_sozluk
0218.000,Altyazı,ALTYAZI,tid_sozluk
0218.001,Altyazı,ALTYAZI,tid_sozluk
0230.001,Akla gelmek,AKLA GELMEK,tid_sozluk
0230.000,Akla gelmek,AKLA GELMEK,tid_sozluk
0258.000,Akşam,AKŞAM,tid_sozluk
0262.000,Aramak,ARAMAK,tid_sozluk
0262.001,Aramak,ARAMAK,tid_sozluk
0262.002,Aramak,ARAMAK,tid_sozluk
0273.001,Adam,ADAM,tid_sozluk
0273.002,Adam,ADAM,tid_sozluk
0273.000,Adam,ADAM,tid_sozluk
0274.000,Ayrı,AYRI,tid_sozluk
0274.001,Ayrı,AYRI,tid_sozluk
0292.002,Ağrımak,AĞRIMAK,tid_sozluk
0292.000,Ağrımak,AĞRIMAK,tid_sozluk
0292.001,Ağrımak,AĞRIMAK,tid_sozluk
0299.000,Araştırmak,ARAŞTIRMAK,tid_sozluk
0312.000,Arka,ARKA,tid_sozluk
0332.001,Ağlamak,AĞLAMAK,tid_sozluk
0332.000,Ağlamak,AĞLAMAK,tid_sozluk
0343.000,Abla,ABLA,tid_sozluk
0343.001,Abla,ABLA,tid_sozluk
0343.002,Abla,ABLA,tid_sozluk
0344.000,Asker,ASKER,tid_sozluk
0350.001,Acı,ACI,tid_sozluk
0350.000,Acı,ACI,tid_sozluk
0350.002,Acı,ACI,tid_sozluk
0356.000,Ağız,AĞIZ,tid_sozluk
0357.000,An,AN,tid_sozluk
0357.001,An,AN,tid_sozluk
0358.001,Anlaşmak,ANLAŞMAK,tid_sozluk
0358.000,Anlaşmak,ANLAŞMAK,tid_sozluk
0366.000,Aşağı,AŞAĞI,tid_sozluk
0366.001,Aşağı,AŞAĞI,tid_sozluk
0396.001,Acı çekmek,ACI ÇEKMEK,tid_sozluk
0396.002,Acı çekmek,ACI ÇEKMEK,tid_sozluk
0396.000,Acı çekmek,ACI ÇEKMEK,tid_sozluk
0409.000,Aşk,AŞK,tid_sozluk
0430.001,Acımak,ACIMAK,tid_sozluk
0430.002,Acımak,ACIMAK,tid_sozluk
0430.000,Acımak,ACIMAK,tid_sozluk
0461.000,Altın,ALTIN,tid_sozluk
0461.001,Altın,ALTIN,tid_sozluk
0476.000,Ameliyat,AMELİYAT,tid_sozluk
0476.001,Ameliyat,AMELİYAT,tid_sozluk
0484.001,Akraba,AKRABA,tid_sozluk
0484.000,Akraba,AKRABA,tid_sozluk
0485.001,Amca,AMCA,tid_sozluk
0485.000,Amca,AMCA,tid_sozluk
0485.002,Amca,AMCA,tid_sozluk
0493.000,Ayak,AYAK,tid_sozluk
0509.001,"Akıllı, Zeki",AKILLI,tid_sozluk
0509.001,"Akıllı, Zeki",ZEKİ,tid_sozluk
0509.001,"Akıllı, Zeki",AKILLI,tid_sozluk
0509.001,"Akıllı, Zeki",ZEKİ,tid_sozluk
0509.000,"Akıllı, Zeki",AKILLI,tid_sozluk
0509.000,"Akıllı, Zeki",ZEKİ,tid_sozluk
0509.000,"Akıllı, Zeki",AKILLI,tid_sozluk
0509.000,"Akıllı, Zeki",ZEKİ,tid_sozluk
0538.000,"Abi, Ağabey",ABİ,tid_sozluk
0538.000,"Abi, Ağabey",AĞABEY,tid_sozluk
0539.002,Açık,AÇIK,tid_sozluk
0539.001,Açık,AÇIK,tid_sozluk
0539.000,Açık,AÇIK,tid_sozluk
0552.000,Aferin,AFERİN,tid_sozluk
0553.000,Ayakkabı,AYAKKABI,tid_sozluk
0601.000,Ayıp,AYIP,tid_sozluk
0601.001,Ayıp,AYIP,tid_sozluk
0616.002,Ait,AİT,tid_sozluk
0616.001,Ait,AİT,tid_sozluk
0616.000,Ait,AİT,tid_sozluk
0617.000,Antrenman,ANTRENMAN,tid_sozluk
0634.000,Ara,ARA,tid_sozluk
0657.000,Ağaç,AĞAÇ,tid_sozluk
0657.001,Ağaç,AĞAÇ,tid_sozluk
0692.000,Aday,ADAY,tid_sozluk
0693.001,Alt,ALT,tid_sozluk
0693.000,Alt,ALT,tid_sozluk
0722.000,Akmak,AKMAK,tid_sozluk
0722.001,Akmak,AKMAK,tid_sozluk
0723.000,Aptal,APTAL,tid_sozluk
0723.001,Aptal,APTAL,tid_sozluk
0724.000,Atlamak,ATLAMAK,tid_sozluk
0724.001,Atlamak,ATLAMAK,tid_sozluk
0746.000,Ateş,ATEŞ,tid_sozluk
0747.000,Ayrılmak,AYRILMAK,tid_sozluk
0747.001,Ayrılmak,AYRILMAK,tid_sozluk
0768.000,Anjiyo,ANJİYO,tid_sozluk
0769.002,Azalmak,AZALMAK,tid_sozluk
0769.001,Azalmak,AZALMAK,tid_sozluk
0769.000,Azalmak,AZALMAK,tid_sozluk
0798.001,Acemi,ACEMİ,tid_sozluk
0798.000,Acemi,ACEMİ,tid_sozluk
0798.002,Acemi,ACEMİ,tid_sozluk
0832.000,"Araba Sürmek, Araba kullanmak",ARABA SÜRMEK,tid_sozluk
0832.000,"Araba Sürmek, Araba kullanmak",ARABA KULLANMAK,tid_sozluk
0872.002,Aman,AMAN,tid_sozluk
0872.000,Aman,AMAN,tid_sozluk
0872.001,Aman,AMAN,tid_sozluk
0873.000,Ambulans,AMBULANS,tid_sozluk
0873.001,Ambulans,AMBULANS,tid_sozluk
0874.000,Ayrımcılık,AYRIMCILIK,tid_sozluk
0916.000,Acele,ACELE,tid_sozluk
0917.001,Adres,ADRES,tid_sozluk
0917.002,Adres,ADRES,tid_sozluk
0917.000,Adres,ADRES,tid_sozluk
0918.002,Artmak,ARTMAK,tid_sozluk
0918.001,Artmak,ARTMAK,tid_sozluk
0918.000,Artmak,ARTMAK,tid_sozluk
0919.001,Aşık olmak,AŞIK OLMAK,tid_sozluk
